new entry "PERMAFROST"
type "StatusData"
data "StatusType" "INCAPACITATED"
data "ForGameMaster" "No"
data "InitiateCombat" "Yes"
data "BringIntoCombat" "Yes"
data "DisplayName" "PERMAFROST_DisplayName"
data "DisplayNameRef" "Permafrost"
data "Description" "PERMAFROST_Description"
data "DescriptionRef" "|Character is frozen to the bone|"
data "Icon" "statIcons_Frozen"
data "FormatColor" "Water"
data "StatusEffect" "RS3_FX_GP_Status_Permafrost_01"
data "StatusEffectOverrideForItems" "RS3_FX_GP_Status_Item_Frozen_01"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "Yes"
data "MaterialFadeAmount" "3000"
data "MaterialParameters" "freezeDirection:SourceDirection"
data "SoundStart" "Status_Tex_Frozen_Start"
data "SoundLoop" "Status_Tex_Frozen_Loop"
data "SoundStop" "Status_Tex_Frozen_Stop"
data "StatsId" "Stats_PermaFrost"
data "StackId" "FrozenStack"
data "StackPriority" "2"
data "FreezeTime" "3000"
data "ApplyStatusOnTick" "PERMAFROST_HEAL"

